FolderPath, Filename,TotalNumberEngravings, Engraving, LineNumber, Text, OverwritingText
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,003R2.GEO,1,1,110,003R2,000AA1
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,015-CR4.GEO,1,1,137,015-CR4,000AA2
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,10101V-A.GEO,2,1,202,10101V,000AA3
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,10101V-A.GEO,2,2,213,B,000AA4
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,10141V.GEO,2,1,187,10141V,000AA5
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,10141V.GEO,2,2,197,B,000AA6
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,103.GEO,1,1,1560,103,000AA7
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11313v.GEO,2,1,243,11313V,000AA8
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11313v.GEO,2,2,253,D/B,000AA9
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11463V.GEO,2,1,299,11463V,000AA10
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11463V.GEO,2,2,310,B,000AA11
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11464V.GEO,2,1,219,11464V,000AA12
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11464V.GEO,2,2,230,B,000AA13
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11533V-1.GEO,1,1,220,11533V-1 B,000AA14
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11533V-2.GEO,1,1,118,11533V-2,000AA15
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11534V01.GEO,1,1,236,11534V01 B,000AA16
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11622V.GEO,1,1,191,11622V,000AA17
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11666V-A.GEO,1,1,260,11666V,000AA18
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11667V-A.GEO,1,1,260,11667V,000AA19
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11759V.GEO,2,1,275,B,000AA20
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11759V.GEO,2,2,286,11759V,000AA21
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11760V.GEO,2,1,259,B,000AA22
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,11760V.GEO,2,2,270,11760V,000AA23
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12342V.GEO,2,1,143,B,000AA24
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12342V.GEO,2,2,154,12342V,000AA25
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12343V.GEO,2,1,143,B,000AA26
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12343V.GEO,2,2,154,12343V,000AA27
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12344V.GEO,1,1,159,12344V01,000AA28
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12563V.GEO,2,1,177,B,000AA29
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12563V.GEO,2,2,188,12563V,000AA30
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12567V-A.GEO,2,1,174,D/B,000AA31
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,12567V-A.GEO,2,2,185,12567V,000AA32
C:\Users\recs\OneDrive - Premier Tech\Bureau\GEO\MGM TEST FILES\GEO - for renaming tests,128.GEO,1,1,143,128,000AA33
